!= ( 1 ) 
功能：得到每个类的单词总数 ( 2 ) 
功能：得到训练集中出现过的单词 ( 2 ) 
功能：根据得到的贝叶斯网络，对文档进行分类 ( 2 ) 
功能：负责提取所有文本中的单词 ( 2 ) 
单词 ( 1 ) 
单词”value为“条件概率”与key为“类”value为“先验概率”的数据，然后将结果保存至包装类Prediction的两个HashTable成员变量中，使得map函数能高效查询概率。 ( 1 ) 
单词”，value为“出现次数”的数据。 ( 1 ) 
单词”，value为“出现次数”的数据，在map过程中将key设置为“单词”，value设为“1”，reduce过程key不变，Value设为固定的“1”即可。 ( 1 ) 
单词”，value为“出现次数”的数据，在map过程中将key设置为类名，value不变，reduce使用IntSumReducer即可。 ( 1 ) 
原理 ( 2 ) 
可以看出Reduce相对Map阶段较慢，存在速度不匹配的问题，可以考虑增加Reduce的数量。 ( 1 ) 
号 ( 1 ) 
同理，类的先验概率为： ( 2 ) 
名 ( 1 ) 
四、测试 ( 2 ) 
因为分母相当于在数据库中X存在的概率，所以对于任何一个待分类项来说 ( 1 ) 
因为各特征值是独立的所以有： ( 1 ) 
图1 ( 1 ) 
图2 ( 1 ) 
图3 ( 1 ) 
图4 ( 1 ) 
图5 ( 1 ) 
图6 ( 1 ) 
图7 ( 1 ) 
图8 ( 1 ) 
在初始化过程中，依据第二个与第三个MapReduce程序的结果，先统计出训练集所包含的单词总数 ( 1 ) 
在文本分类中，特征为离散，不应使用高斯模型。 ( 1 ) 
在本次课程设计中，使用Hadoop实现了一个朴素贝叶斯分类器，利用MapReduce框架，实现了对大量数据的并行处理。最后通过测试文档的真实类别，计算分类模型的Precision，Recall和F1值 ( 1 ) 
多重伯努利模型仅仅考虑词组是否出现，而没有考虑出现的多少，而词频也是一个重要分类信息，所以在文本分类中，效果不如多项式模型。 ( 1 ) 
多项式模型 ( 2 ) 
天 ( 1 ) 
如图8所示，通过评估，最终测得宏平均与微平均的F1值均约为84%。 ( 1 ) 
如果贝叶斯是对多个类进行分类，则每个都会有Precision、Recall与F1，如何将多个性能度量组合成一个量？ ( 1 ) 
姓 ( 1 ) 
存放各个MapReduce程序的Map类与Reduce类 ( 1 ) 
学 ( 1 ) 
宏平均为每个类提供了相同的权重，而微平均为每个文档分类决策提供了相同的权重。 ( 1 ) 
宏平均（Macro-Averaging）：是对数据集中的每一个实例不分类别进行统计建立全局混淆矩阵，然后计算相应指标。 ( 1 ) 
实际应用中，多项式模型已经表明优于多重伯努利模型。所以我将多项式模型作为实现模型。 ( 1 ) 
实际的类别 ( 1 ) 
将程序分解为两个过程，分别为数据准备与贝叶斯分类，共四个MapReduce任务，分别为MultiFileWordCount、ClassWordCount、ExistingWord、Classify。 ( 1 ) 
巡 ( 1 ) 
工程中包含的文件 ( 1 ) 
希 ( 1 ) 
当=1时，称作Laplace平滑，当0<<1时，称作Lidstone平滑，=0时即不做平滑。 ( 1 ) 
当特征是连续变量的时候，运用多项式模型就会导致很多（不做平滑的情况下），此时即使做平滑，所得到的条件概率也难以描述真实情况。所以处理连续的特征变量，应该采用高斯模型。 ( 1 ) 
得到分类结果后，我们使用混淆矩阵的方式进行评测，混淆矩阵如表2所示。 ( 1 ) 
得到每个类的单词总数 ( 1 ) 
微平均与宏平均 ( 2 ) 
微平均（Micro ( 1 ) 
总 ( 1 ) 
所以在计算概率时，会对数据进行平滑，具体公式为： ( 1 ) 
执行完数据准备过程后，<类名 ( 1 ) 
找到一个已知分类的待分类项集合，这个集合叫做训练样本集。 ( 1 ) 
提取文件中的类与单词，并进行词频统计 ( 1 ) 
摘要 ( 1 ) 
数据准备 ( 1 ) 
数据准备阶段 ( 2 ) 
数据准备阶段的主程序 ( 1 ) 
数据选择、训练集设置 ( 2 ) 
数据集的设置 ( 1 ) 
数据集选取的Country文件夹，即以国家为分类目标，并且挑选了一些文档数较多的国家。测试集则以下列规则设定。 ( 1 ) 
数： ( 1 ) 
整个项目中包含的文件如表5所示。 ( 1 ) 
文件名 ( 1 ) 
文本分类过程中，涉及到多个属性的概率值相乘的情况，当足够多的小数相乘时就可能会因为数据下溢而导致结果出错。这时可以借助对数运算的性质，即，使得求积运算转化为求和运算，而log函数是单调递增函数，所以可以直接根据log运算的结果判断文档在各个类中的概率的大小而不影响最终分类结果。 ( 1 ) 
文档总数 ( 1 ) 
日 ( 1 ) 
是类别为的样本个数，n是特征的维数，是类别为的样本中，第i维特征的值是的样本个数，是平滑值。 ( 1 ) 
最后的训练集及测试集设置如表3所示。 ( 1 ) 
月 ( 1 ) 
有一个类别集合为： ( 1 ) 
服务器配置信息 ( 1 ) 
本课程设计用MapReduce算法实现贝叶斯分类器的训练过程，能对测试集文档进行分类测试。并且重写了InputFormat与RecordReader，实现了对特定目录结构的读取，设计包含三个步骤：数据准备及预处理阶段，样本分类阶段，评估阶段。最后利用测试文档的真实类别，计算分类模型的Precision，Recall和F1值。 ( 1 ) 
朴素贝叶斯分类器仍然是文本分类的一种热门方法，文本分类是以词频为特征判断文件所属类别或其他（如垃圾邮件、合法性、区域分类等等）的问题。贝叶斯分类器只需花费线性时间，而不需要其他很多类型的分类器所使用的费时的迭代逼近。通过适当的预处理，它可以与这个领域更先进的方法（包括支持向量机）相竞争。 ( 1 ) 
朴素贝叶斯分类器是一系列以假设特征之间强独立条件下运用贝叶斯定理为基础的简单概率分类器。 ( 1 ) 
朴素贝叶斯方法有个缺点是对数据稀疏问题过于敏感。若某个单词在训练集中不存在而在某个测试文档中出现，则会出现后验概率为0的情况。 ( 1 ) 
朴素贝叶斯有三种常见的模型：多项式模型、伯努利模型、高斯模型。文本分类一般使用多项式模型或伯努利模型，高斯模型一般应用在特征为连续的情况（如身高）。 ( 1 ) 
朴素贝叶斯的三种常见模型 ( 2 ) 
机器 ( 1 ) 
条件概率 ( 1 ) 
样本分类阶段的主程序 ( 1 ) 
根据公式： ( 1 ) 
根据图中的数据我们可以看到，在第一个job运行时，共有5168个map，即与Slip个数一致（Record中将是否分片设置为false，所以一个文件就是一个分片，而测试文件共有5168个）。 ( 1 ) 
根据数据准备阶段的结果，计算概率，存入Hashtable ( 1 ) 
概率>”的数据。 ( 1 ) 
概率>、<类名2 ( 1 ) 
概率>、…<类名n ( 1 ) 
概率”写入上下文。 ( 1 ) 
模型评估方法 ( 2 ) 
武 ( 1 ) 
求后验概率。在朴素贝叶斯算法中，待分类项的每个特征属性都是条件独立的，由贝叶斯公式 ( 1 ) 
测试 ( 2 ) 
测试文档数量 ( 1 ) 
混淆表 ( 1 ) 
混淆表（confusion ( 1 ) 
然后我们用Precision、Recall、F1来描述分类器的效果。 ( 1 ) 
然后，我们需要重写RecordReader，来定义送至Map任务的KeyValue数据格式。因为在MyInputFormat中设置了默认不分片，所以RecordReader收到的InputSplit为一个完整的文件。之后，我们将Key设置为该文件的路径，Value设置为文件的内容。 ( 1 ) 
环境配置 ( 2 ) 
由于工程源码过多，完全打印需要大约25页，所以只选取部分源码附后，并且省略程序的包导入部分。 ( 1 ) 
由于输入文件都为小于1MB的小文件，所以在InputFormat中设置为默认不分片，即重写isSplitable()，将返回值设为false。 ( 1 ) 
目录 ( 1 ) 
目：基于Hadoop的朴素贝叶斯分类器 ( 1 ) 
真实类别是yes的样本中有多少被分为yes： ( 1 ) 
研究生课程论文（报告） ( 1 ) 
第一个MapReduce程序的功能是对特定目录结构进行读取，然后进行类的单词统计，得到key为“类名 ( 1 ) 
第一个job执行时的监控界面 ( 1 ) 
第三个MapReduce的任务为统计训练集中出现过的单词。得到key为“单词”，此时的value无意义，设置为“1”（本来想把value设置为NullWriterable，但是会出现Shuffle阶段只排序并没有完成去重的情况）。 ( 1 ) 
第二个MapReduce的任务为统计每个类所包含的单词总数。得到key为“类名”，value为“单词数”的数据。 ( 1 ) 
简介 ( 2 ) 
简化流程如下： ( 1 ) 
类别 ( 1 ) 
系统版本 ( 1 ) 
经过Shuffle阶段后，Reduce端收到key为“文档名”，value为“<类名1 ( 1 ) 
统计得到在各类别下各个特征属性的条件概率估计。即： ( 1 ) 
统计训练集中出现过的单词 ( 1 ) 
而reduce个数则是由程序指定的（或者作为命令行参数传入），运行时未指定，所以默认为1。 ( 1 ) 
自定义的InputFormat类 ( 1 ) 
自定义的InputFormat继承自FileInputFormat，FileInputFormat中的listStatus()函数会使用默认路径过滤器过滤给定路径列表中的文件/目录，最后返回一个List<FileStatus>，这个List中的文件会被后续处理。FileInputFormat中的listStatus()函数默认只会返回当前目录下的所有文件，而无法处理子目录下的文件。所以我们在知道目录结构的情况下，将listStatus()重写，返回二级目录下的所有文件列表。 ( 1 ) 
自定义的RecordReader ( 1 ) 
若 ( 1 ) 
若有一个待分类项： ( 1 ) 
行数 ( 1 ) 
表1 ( 1 ) 
表2 ( 1 ) 
表3 ( 1 ) 
表4 ( 1 ) 
表5 ( 1 ) 
被分类为yes的样本中有多少真实类别是yes： ( 1 ) 
要求出第四项中的后验概率，就需要分别求出在第三项中的各个条件概率，其步骤是: ( 1 ) 
计算 ( 1 ) 
计算机学院 ( 1 ) 
计算条件概率 ( 1 ) 
计算条件概率与先验概率，并对样本进行贝叶斯分类 ( 1 ) 
训练文档数量 ( 1 ) 
评估结果 ( 1 ) 
评估阶段的主程序 ( 1 ) 
评卷人： ( 1 ) 
该模型常用于文本分类，特征是单词，值是单词的出现次数。多项式模型的最大似然估计计算如式： ( 1 ) 
说明 ( 1 ) 
课程指导教师 ( 1 ) 
输入文件为第一步所得到的key为“类名 ( 2 ) 
输入目录结构 ( 1 ) 
输入：args[0],即MyFileInputFormat的输出分片,key为<文件路径>,value为文件内容<word1 ( 1 ) 
输入：args[0],经过MyFileInputFormat的处理后,key为<文件路径>,value为文件内容<word1 ( 1 ) 
输入：args[1],输入格式为<<class,word>,counts> ( 2 ) 
输入：args[1],输入格式为<<class:word>,counts> ( 2 ) 
输入：args[4],测试文件的路径,经过InputFormat处理后的数据格式为<Path, ( 2 ) 
输出：args[1],key为<类名:单词>,value为单词出现次数,即<<Class:word>,TotalCounts> ( 2 ) 
输出：args[2],输出key为类名,value为单词总数.格式为<class,WordCount> ( 2 ) 
输出：args[3],输出key为出现过的单词,value为1.格式为<word,one> ( 2 ) 
输出：args[5],输出每一份文档经贝叶斯分类后所对应的类,格式为<doc,class> ( 2 ) 
辜 ( 1 ) 
过程 ( 1 ) 
这里是依赖于词组的参数。对所有词组*取是一种常见选择（即Laplace平滑）。得到最终的概率估计公式为： ( 1 ) 
通过此次课程设计作业，我学会了Hadoop的环境搭建和基本的设计架构，掌握了大数据处理的基本方法，对HDFS、MapReduce等内部实现细节有一个基本的认识。 ( 1 ) 
都是常数固定的。再求后验概率的时候只用考虑分子即可。 ( 1 ) 
附录 ( 2 ) 
附： ( 1 ) 
院（系、所） ( 1 ) 
题 ( 1 ) 
饶 ( 1 ) 
首先，由于输入目录“Country”为两级目录，二级目录的文件夹名即为分类的类名，若我们需要将文件全部读入，并且得到类名信息，我们需要自定义InputFormat与RecordReader。 ( 1 ) 
高斯模型 ( 2 ) 
（1） ( 1 ) 
（1）首先使用hadoop ( 1 ) 
（2个，12核24线程） ( 1 ) 
（2个，16核32线程） ( 2 ) 
（2） ( 1 ) 
（2）将程序打包为jar文件，使用hadoop ( 1 ) 
（3） ( 1 ) 
（DataPrepare类） ( 1 ) 
（Prediction类） ( 1 ) 

